device_id,ph,turbidity_ntu,tds_ppm,water_quality_category
soil-water-monitor-2,7.14,0.6,377.6,Safe
soil-water-monitor-3,6.66,2.56,892.4,Safe
soil-water-monitor-2,6.65,5.21,721.0,Moderate
soil-water-monitor-1,7.03,7.33,362.8,Safe
soil-water-monitor-3,6.61,5.2,577.4,Safe
soil-water-monitor-2,4.88,29.69,1799.4,Critical
soil-water-monitor-1,6.37,6.74,656.2,Moderate
soil-water-monitor-1,7.74,0.0,208.8,Safe
soil-water-monitor-2,5.76,17.47,1127.9,Unsafe
soil-water-monitor-3,6.38,11.55,576.0,Unsafe
soil-water-monitor-2,6.7,9.51,675.1,Moderate
soil-water-monitor-3,5.43,22.98,1425.8,Critical
soil-water-monitor-3,6.44,5.95,490.0,Safe
soil-water-monitor-2,7.46,12.36,483.3,Moderate
soil-water-monitor-2,6.55,5.15,416.2,Safe
soil-water-monitor-2,6.69,18.67,2609.9,Unsafe
soil-water-monitor-1,5.91,3.49,743.7,Moderate
soil-water-monitor-3,6.84,40.37,977.8,Moderate
soil-water-monitor-2,4.83,26.11,1495.7,Critical
soil-water-monitor-1,5.38,39.87,882.9,Unsafe
soil-water-monitor-3,7.71,4.06,200.2,Safe
soil-water-monitor-1,6.05,5.28,628.8,Moderate
soil-water-monitor-1,6.76,10.15,567.7,Moderate
soil-water-monitor-3,6.78,0.0,221.4,Safe
soil-water-monitor-2,5.93,24.23,1723.0,Unsafe
soil-water-monitor-2,6.79,4.91,497.9,Safe
soil-water-monitor-1,6.94,3.63,346.0,Safe
soil-water-monitor-2,7.39,3.07,270.6,Safe
soil-water-monitor-2,6.41,10.68,373.8,Moderate
soil-water-monitor-3,7.12,12.9,456.1,Moderate
soil-water-monitor-1,7.25,6.24,608.3,Moderate
soil-water-monitor-2,6.9,7.48,600.5,Moderate
soil-water-monitor-2,6.52,5.56,890.8,Moderate
soil-water-monitor-3,8.07,0.49,237.5,Safe
soil-water-monitor-3,6.28,3.19,586.5,Moderate
soil-water-monitor-1,6.6,2.02,276.8,Safe
soil-water-monitor-1,6.92,6.33,481.5,Safe
soil-water-monitor-2,6.65,6.22,391.2,Safe
soil-water-monitor-2,7.51,0.0,163.4,Safe
soil-water-monitor-1,7.74,3.22,199.7,Safe
soil-water-monitor-3,5.67,10.55,719.0,Unsafe
soil-water-monitor-3,6.49,3.56,803.0,Safe
soil-water-monitor-2,6.13,9.23,691.7,Unsafe
soil-water-monitor-2,7.56,5.49,156.0,Safe
soil-water-monitor-1,,25.22,1651.8,Critical
soil-water-monitor-3,6.69,3.22,135.4,Safe
soil-water-monitor-1,6.92,0.14,186.6,Safe
soil-water-monitor-1,7.51,5.59,263.1,Safe
soil-water-monitor-3,7.47,4.44,147.8,Safe
soil-water-monitor-3,5.38,35.38,921.6,Unsafe
soil-water-monitor-3,5.22,41.59,3123.4,Critical
soil-water-monitor-2,6.69,1.74,494.8,Safe
soil-water-monitor-1,6.85,2.55,164.7,Safe
soil-water-monitor-3,6.23,112.05,2254.9,Critical
soil-water-monitor-2,6.21,7.01,527.8,Moderate
soil-water-monitor-2,7.32,0.58,325.3,Safe
soil-water-monitor-2,4.72,73.51,3618.8,Critical
soil-water-monitor-1,6.69,7.59,681.5,Moderate
soil-water-monitor-2,5.49,35.35,1397.1,Unsafe
soil-water-monitor-2,5.91,28.27,1110.0,Unsafe
soil-water-monitor-2,6.28,7.24,703.3,Moderate
soil-water-monitor-1,6.98,4.8,748.6,Safe
soil-water-monitor-1,6.43,3.22,409.4,Safe
soil-water-monitor-2,7.35,6.28,561.7,Moderate
soil-water-monitor-1,7.14,8.87,533.3,Moderate
soil-water-monitor-3,7.1,2.03,363.6,Safe
soil-water-monitor-2,6.57,7.14,489.5,Moderate
soil-water-monitor-1,7.09,2.12,350.5,Safe
soil-water-monitor-1,6.55,5.33,492.3,Moderate
soil-water-monitor-3,5.86,8.81,794.9,Unsafe
soil-water-monitor-2,6.63,2.0,368.5,Safe
soil-water-monitor-3,7.4,2.74,485.0,Safe
soil-water-monitor-3,7.18,0.05,186.6,Safe
soil-water-monitor-1,7.26,3.23,281.1,Safe
soil-water-monitor-3,7.14,3.65,199.1,Safe
soil-water-monitor-3,6.54,1.63,171.8,Safe
soil-water-monitor-1,7.99,1.89,251.9,Safe
soil-water-monitor-3,,5.62,566.3,Moderate
soil-water-monitor-2,8.27,4.11,371.4,Safe
soil-water-monitor-2,7.17,4.52,351.1,Safe
soil-water-monitor-3,6.51,5.27,421.9,Safe
